Number,StreetAddress,City,State,StateFull,TelephoneNumber,TropicalZodiac,CCNumber,FulColor,Occupation,Company,Centimeters,Kilograms
358,3985 Blane Street,Saint Louis,MO,Missouri,314-612-7358,Aquarius,4.53233E+15,black,Medical assistant,Titania,171,52.3
359,4628 Eagle Drive,Southfield,MI,Michigan,734-792-5173,Sagittarius,4532938881046379,black,Dairy scientist,Multicerv,164,75.4
360,2104 Round Table Drive,Cincinnati,OH,Ohio,513-784-8709,Cancer,5392500346538774,black,Marine equipment mechanic,Matrix Architectural Service,176,91.2
361,308 Star Route,Crete,IL,Illinois,708-672-2769,Aquarius,4556928293889624,dark skinned,Paleomagnetist,The White Swan,182,103.1
362,4264 Cedar Street,Jonesboro,AR,Arkansas,870-819-3175,Aquarius,4532670053286679,black,Traffic clerk,Cut Above,181,59.6
363,2865 Grove Street,Bohemia,NY,New York,631-833-2859,Scorpio,4716454651492106,dark skinned,Pesticide applicator,Madcats Music & Books,188,71.7
364,1958 Perine Street,Alexandria,VA,Virginia,703-750-7427,Cancer,4485910500198482,black,Vascular technologist,Laneco,187,69.9
365,4116 Hannah Street,Hildebran,NC,North Carolina,828-397-2774,Virgo,5235824591527444,dark skinned,Fire dispatcher,Sure Save,171,62.3
366,2513 Diamond Street,Hickory,NC,North Carolina,828-502-0206,Cancer,5142360191675228,dark skinned,Budget analyst,Komerci,180,68.9
367,2806 Clement Street,Atlanta,GA,Georgia,404-431-3319,Leo,5260561468541656,black,Control and valve repairer,Coffey's Market,171,69.9
368,3304 Washington Street,Beeville,TX,Texas,361-362-5044,Capricorn,4539393307706466,black,Collector,Asian Plan,179,93.9
369,3454 Hardman Road,Brattleboro,VT,Vermont,802-818-1388,Capricorn,5446886975305742,black,Defense attorney,Lionel Playworld,170,81
370,708 Murry Street,Norfolk,VA,Virginia,757-453-5511,Sagittarius,5279108015039112,black,Human resources information system specialist,Nickerson Farms,186,98.1
371,641 Patterson Road,Bronx,NY,New York,718-920-0482,Sagittarius,4539815608675123,white,Automotive engineer,ManPower,182,100.3
372,4596 Hewes Avenue,Baltimore,MD,Maryland,443-644-8269,Virgo,4916173534419437,black,Manpower development advisor,Albers Super Markets,172,71.7
373,4616 Pike Street,San Diego,CA,California,858-558-0296,Cancer,4539307245719365,black,CART provider,Roberd's,173,60
374,3718 Hott Street,Norman,OK,Oklahoma,405-573-4168,Aries,4485096717372159,black,Urban and regional planner,DGS VolMAX,180,66
375,2653 Jehovah Drive,Fredericksburg,VA,Virginia,540-413-7586,Virgo,4532022549986332,black,Silversmith,Gottschalks,171,85.7
376,635 Columbia Boulevard,Columbia,MD,Maryland,410-505-4672,Virgo,4716213403410331,black,Hearing officer,Destiny Realty Solutions,185,85.8
377,1837 Payne Street,Katy,TX,Texas,281-237-7838,Cancer,5447814872103308,black,Life Guard,Consumers Food and Drug,172,86.8
378,3177 Oak Lane,Boonville,MO,Missouri,660-631-2435,Scorpio,5.3362E+15,white,Engineer,Casual Corner,164,72.7
379,3371 Rosewood Lane,Los Angeles,CA,California,213-209-2351,Libra,5313787142414443,black,Materials engineer,Sholl's Colonial Cafeteria,181,112
380,948 Brighton Circle Road,Upsala,MN,Minnesota,320-573-2059,Cancer,4539161266121187,dark skinned,Telephone service representative,Success Is Yours,168,97.4
381,4169 Scott Street,West Nyack,NY,New York,845-548-8652,Virgo,4532681871552283,black,Medicinal chemist,Liberal,176,68.4
382,1597 Wines Lane,Houston,TX,Texas,832-261-5848,Leo,5.59679E+15,white,Seismologist,Reliable Investments,173,77.1
383,62 Alexander Avenue,Danville,CA,California,925-648-8275,Pisces,4539109177639821,dark skinned,Flight attendant,Castle Realty,189,89.4
384,3544 Maloy Court,Topeka,KS,Kansas,785-431-4224,Aries,4716244307420332,dark skinned,Marketing specialist,Big Apple,153,90.8
385,2768 Polk Street,Sierra Vista,AZ,Arizona,520-803-2363,Capricorn,5.12686E+15,black,Teacher aide,Wise Appraisals,162,52.3
386,4604 Davis Street,Hartwell,GA,Georgia,706-377-4626,Aries,4.92963E+15,dark skinned,Gate agent,TheBottomHalf,185,102.3
387,802 Reel Avenue,Chimayo,NM,New Mexico,505-351-7232,Gemini,5207384614203204,dark skinned,Psychiatric nursing assistant,Keeney's,171,85.3
388,4046 Bloomfield Way,Rockland,ME,Maine,207-596-5373,Aquarius,4485038141052007,white,Welder,Monsource,167,73.6
389,867 Jerry Dove Drive,Myrtle Beach,SC,South Carolina,843-459-2456,Gemini,5177680959899944,black,Occupational therapist aide,Builders Square,155,103.9
390,735 August Lane,Shreveport,LA,Louisiana,318-471-7705,Gemini,5286217229008176,white,"Heating, air-conditioning, and refrigeration mechanic",David Weis,163,94.4
391,3699 Berkley Street,Allentown,PA,Pennsylvania,484-821-2808,Libra,5269502137173928,dark skinned,Milling and planing machine setter,Integra Wealth Planners,179,80.8
392,4617 Pooh Bear Lane,Greenville,SC,South Carolina,864-722-9537,Aries,4716145403043516,black,Charter bus driver,Licorice Pizza,175,87.9
393,2254 Simons Hollow Road,Wilkes Barre,PA,Pennsylvania,570-826-6805,Virgo,5532703524815094,black,Government accountant,Federated Group,169,106.9
394,4762 Tea Berry Lane,Eau Claire,WI,Wisconsin,715-808-8103,Capricorn,5526877892405353,black,Registered respiratory therapist,Waves Music,163,60.6
395,1606 Union Street,Seattle,WA,Washington,206-733-7641,Libra,5273798930048804,black,Real estate agent,First Choice Garden Maintenance,161,61.4
396,1629 Havanna Street,Shoals,NC,North Carolina,336-326-8767,Leo,4485701944915395,black,Payroll secretary,Northern Star,179,102.6
397,1158 Carter Street,Centralia,IL,Illinois,618-716-3529,Taurus,4916147040192605,black,Outside order clerk,Foot Quarters,172,88.8
398,3716 Calico Drive,Colville,WA,Washington,509-690-7128,Gemini,5254793382548115,black,DJ,Rich and Happy,176,69.8
399,4336 Carter Street,Olney,IL,Illinois,618-838-6258,Leo,4532946039771657,white,Plant operator,"Sounds Great, Inc",169,52.7
400,3432 West Fork Street,Hamilton,MT,Montana,406-375-6934,Aquarius,4485594726071622,dark skinned,Vice president,Rickel,177,72.8
401,382 Rocket Drive,Minneapolis,MN,Minnesota,612-870-7639,Taurus,5369721960914906,dark skinned,Tour guide,Schaak Electronics,157,58.7
402,2726 Havanna Street,Greensboro,NC,North Carolina,336-321-3364,Cancer,5544884812373883,dark skinned,Construction mechanic,Reliable Guidance,175,76.4
403,4759 Burnside Avenue,Heber City,UT,Utah,435-654-3138,Capricorn,5165883423882207,black,Cementing and gluing machine tender,HomeBase,175,96.8
404,1983 Wayback Lane,Bohemia,NY,New York,631-428-5880,Aquarius,4532054466753213,white,Jewelry appraiser,Total Serve,171,62.1
405,3148 Apple Lane,Davenport,IL,Illinois,309-283-9028,Virgo,4716913786583352,black,Flight attendant,Afforda,166,86.4
406,631 Woodstock Drive,Los Angeles,CA,California,626-549-5378,Leo,4716540796105379,black,Weigher,Chatham,157,80.7
407,567 Carriage Lane,Clifford,PA,Pennsylvania,570-222-0853,Gemini,4532762057186052,black,Microbiology technologist,Edwards,166,77
408,4889 Roane Avenue,Annapolis Junction,MD,Maryland,301-233-5967,Scorpio,4532381451367679,dark skinned,Electronic equipment repairer,Holly Tree Inn,154,51.9
409,2783 Woodside Circle,Fort Walton Beach,FL,Florida,850-863-2431,Gemini,5239147064965438,dark skinned,Macroeconomist,Strength Gurus,166,89.2
410,2065 Ford Street,San Jose,CA,California,408-441-4033,Capricorn,4716351847381633,white,Dipper,Megatronic Plus,171,71.4
411,4026 Parker Drive,Cleveland,OH,Ohio,216-601-4208,Scorpio,4929695342542096,white,Lease operator,Food Mart,171,74.2
412,2447 Davis Street,Athens,GA,Georgia,706-308-2906,Sagittarius,5111840119890352,dark skinned,Dining room and cafeteria attendant,The Wall,165,58.4
413,769 Millbrook Road,Chicago,IL,Illinois,630-791-9997,Pisces,5172088062944638,black,Simultaneous interpreter,Lafayette Radio,154,75.3
414,283 Biddie Lane,Richmond,VA,Virginia,804-553-2265,Sagittarius,5521498095276106,white,Cabinetmaker,Mr. Good Buys,163,73.1
415,2194 Mayo Street,Winchester,KY,Kentucky,859-736-3612,Scorpio,5406847888875435,black,Gas appliance repairer,"Sounds Great, Inc",172,66.5
416,947 Parrish Avenue,Blanco,TX,Texas,830-833-7199,Cancer,5.48931E+15,black,"Carpet, floor, and tile finisher",Leonard Krower & Sons,180,75.8
417,1361 Bird Street,Albuquerque,NM,New Mexico,505-615-8346,Virgo,4556411441844742,black,Clerk typist,JasmineSola,157,65.8
418,3587 Melrose Street,Yakima,WA,Washington,509-985-7190,Capricorn,4929728351943747,black,Hydraulic and pneumatic technician,McDade's,160,54.3
419,1459 Big Elm,Kansas City,MO,Missouri,816-763-7583,Leo,4716810600130222,white,Door-to-door sales worker,Copeland Sports,171,103.7
420,991 Southside Lane,Hollywood,CA,California,323-769-4364,Aries,4556343790556769,black,Bookbinder,Megatronic,156,95.8
421,867 Hillside Drive,Lafayette,LA,Louisiana,337-984-6058,Gemini,5137860547300865,black,Operations research analyst,Aaronson Furniture,167,69.9
422,4899 Radford Street,Louisville,KY,Kentucky,502-320-5849,Gemini,4716644098336961,dark skinned,Biostatistician,Formula Grey,164,89.7
423,1125 Station Street,Austin,TX,Texas,512-209-4184,Scorpio,4532149500246438,black,Speech-language pathologist,Movie Gallery,174,59.6
424,2068 Pennsylvania Avenue,Lakewood,NJ,New Jersey,732-367-2934,Gemini,5230260752317843,black,Agricultural inspector,Freedom Map,167,66.5
425,4434 Burwell Heights Road,Beaumont,TX,Texas,409-730-8722,Aries,4929435910054277,black,Contract manager,Eden Lawn Service,188,102.7
426,4549 Freed Drive,Stockton,CA,California,209-752-6544,Gemini,5464476606246841,black,Medical secretary,Pro Property Maintenance,162,85.3
427,1469 Arlington Avenue,Friendsville,TN,Tennessee,865-995-9639,Cancer,4539274095257484,black,Keying machine operator,Rainbow Bay Crafts,160,66.2
428,3897 Spring Street,Champaign,IL,Illinois,217-819-4913,Scorpio,4556475071840791,dark skinned,Printmaker,Electric Avenue,171,64
429,279 Gateway Road,Keizer,OR,Oregon,503-304-5281,Aries,4716901133648325,white,Escort interpreter,Gas Legion,156,58.1
430,319 Ford Street,Concord,CA,California,408-455-2046,Pisces,5274795576557154,dark skinned,Sheet metal worker,Crown Auto Parts,163,70.1
431,783 Heavner Avenue,Adairsville,GA,Georgia,770-769-8675,Scorpio,5181880154641158,black,Human resources assistant,Maloley's Finer Foods,177,97.7
432,637 Pine Garden Lane,Norcross,GA,Georgia,770-688-4489,Leo,5144191543050341,black,Office machine operator,Schweggmanns,170,78.6
433,2703 Neuport Lane,Duluth,GA,Georgia,770-316-3515,Sagittarius,5.15481E+15,black,Broker associate,Poore Simon's,163,56.1
434,45 Woodland Drive,Sioux City,IA,Iowa,712-281-2231,Capricorn,5161666701720296,black,Pathologist,The Record Shops at TSS,185,79.5
435,2894 Lightning Point Drive,Memphis,TN,Tennessee,901-441-1963,Libra,4539475149703502,black,Industrial truck and tractor operator,Veramons,177,83.1
436,4690 Alexander Avenue,Oakland,CA,California,925-518-6115,Cancer,5497943530375534,white,Manager,Furrow's,162,101.3
437,4272 Wilmar Farm Road,Lanham,MD,Maryland,240-244-5208,Gemini,4556976181643108,black,School social worker,Gamma Realty,174,83
438,2579 Nutter Street,Odessa,MO,Missouri,816-263-5107,Leo,5558653948041703,white,Affirmative action coordinator,Bettendorf's,157,62.5
439,4525 Tully Street,Detroit,MI,Michigan,313-606-1539,Gemini,4532468838455374,dark skinned,Mixing and blending machine operator,Action Auto,161,70
440,4057 Small Street,New York,NY,New York,212-823-1899,Gemini,5131088351529462,black,Product promoter,Manning's Cafeterias,175,89.5
441,4535 Edgewood Road,Jonesboro,AR,Arkansas,870-933-8954,Gemini,5546921499091293,white,Agricultural laborer,Creative Wealth Management,169,95.9
442,2403 Caynor Circle,New Providence,NJ,New Jersey,908-464-5348,Gemini,5319817753423708,black,Lead abatement worker,Jeans Unlimited,174,91.2
443,4101 Fantages Way,North Berwick,ME,Maine,207-676-1107,Aries,5391647523014987,black,Dental hygienist,Today's Man,169,84.8
444,2976 Cooks Mine Road,Roswell,NM,New Mexico,505-704-0205,Taurus,5358282731471109,black,Forest fire inspector,Sammy's Record Shack,160,97.9
445,2217 Prospect Street,Camden,NJ,New Jersey,856-614-7363,Aquarius,4532813027200539,black,CAD operator,Pacific Stereo,156,71.9
446,1957 Maple Court,Cape Girardeau,MO,Missouri,573-331-9342,Scorpio,5501366371101997,dark skinned,Elevator inspector,Four Leaf Clover,155,77.6
447,2782 Driftwood Road,Fremont,CA,California,408-331-4446,Aries,4532475033474134,black,Medicinal chemist,Olympic Sports,153,51.4
448,2735 Fort Street,Belhaven,NC,North Carolina,252-943-9174,Gemini,5574733257210022,dark skinned,Engraver set-up operator,Erb Lumber,154,74.1
449,2976 Hamill Avenue,San Diego,CA,California,858-229-8843,Cancer,5308575765061741,black,Automotive glass installer,Wag's,157,59.4
450,3846 Maxwell Street,Cheshire,CT,Connecticut,860-758-1576,Aquarius,5366062297461938,dark skinned,Engineering geologist,Mighty Casey's,171,63.5
451,3058 Heather Sees Way,Tulsa,OK,Oklahoma,918-730-9080,Taurus,4929113196444518,black,Airport service agent,Lazysize,175,65.5
452,4419 Euclid Avenue,Goleta,CA,California,805-350-9561,Taurus,5.18474E+15,white,Sorter,Mr. Clark's Appliances,170,94.7
453,1321 Sunny Day Drive,Anaheim,CA,California,714-803-9120,Capricorn,5174227069289229,black,Usher,Edge Garden Services,171,78.1
454,1107 Breezewood Court,Girard,KS,Kansas,620-395-6170,Aries,5438254474304122,black,Diagnostic medical sonographer,Afforda,165,71.1
455,1681 Burnside Avenue,Logan,UT,Utah,435-755-1097,Libra,5307040658265983,black,Coding specialist,Krauses Sofa Factory,177,69.3
456,285 Fleming Street,Montgomery,AL,Alabama,334-421-6173,Aquarius,4485920621094205,black,Chef,Wetson's,154,73.9
457,1544 Pallet Street,New York,NY,New York,914-309-2943,Gemini,5443498740159546,black,Sewage treatment plant operator,Morrie Mages,158,85.9
458,3746 Columbia Boulevard,Laurel,MD,Maryland,410-509-3778,Gemini,4556889875787018,dark skinned,Computer control operator,Chandler's,158,87.7
459,2067 Holly Street,Gainesville,GA,Georgia,706-200-9739,Scorpio,5228108741773515,dark skinned,Histology technician,Mars Music,153,98.2
460,2357 Little Street,Akron,OH,Ohio,330-578-5015,Cancer,5126562481089263,black,Allergist,Britches of Georgetown,168,102.3
461,3219 Worley Avenue,Lynchburg,VA,Virginia,434-544-5730,Capricorn,5352680289936199,white,Library media assistant,Envirotecture Design Service,162,94.4
462,4862 Terra Cotta Street,Hackensack,MN,Minnesota,218-675-6824,Taurus,5313138097120066,dark skinned,Curator,Hill-Behan,161,79.5
463,3562 Don Jackson Lane,Brighton,MI,Michigan,810-225-8590,Sagittarius,5327403812888726,dark skinned,Geotechnical engineer,Opti-Tek,158,55.3
464,3522 Davis Street,Atlanta,GA,Georgia,706-313-4493,Leo,4556160608999951,black,Cooking instructor,Record & Tape Outlet,180,88.8
465,2954 Rainy Day Drive,Cambridge,MA,Massachusetts,617-930-1686,Gemini,4716363176667581,black,Actuarie,Reliable Investments,189,64.4
466,6 Better Street,Overland Park,KS,Kansas,913-315-0463,Gemini,5489543739269486,dark skinned,President,Food Giant,170,87.8
467,2632 Shinn Street,New York,NY,New York,212-772-0730,Sagittarius,4485085560498575,dark skinned,Human resources consultant,Sun Television and Appliances,170,99.2
468,2870 Forest Drive,Beltsville,VA,Virginia,703-864-1161,Virgo,5326725447814037,white,Judiciary translator,Destiny Realty,154,58.7
469,4551 Mandan Road,Farmington,MO,Missouri,573-760-7509,Taurus,5111920182298137,dark skinned,Mobile heavy equipment service technician,John F. Lawhon,187,99.1
470,4660 Maple Avenue,Stockton,CA,California,209-244-9674,Virgo,4485132072174573,dark skinned,Assistant manager,Corinthian Designs,167,71.6
471,2784 Main Street,Redmond,WA,Washington,425-657-2533,Leo,5535965464527933,white,Environmental protection officer,Gemco,164,101.5
472,238 Boone Street,Humptulips,WA,Washington,360-987-9468,Cancer,5332355056349893,dark skinned,Reservation agent,Quality Realty Service,183,74.5
473,2016 Nuzum Court,Buffalo,NY,New York,716-504-7783,Leo,5423200865063345,black,Meeting manager,Maxi-Tech,167,48.9
474,106 Hilltop Haven Drive,Newark,NJ,New Jersey,973-802-8363,Gemini,5156881804325722,black,Hoist and winch operator,Tape World,164,91.9
475,2781 Crowfield Road,Phoenix,AZ,Arizona,602-808-5005,Taurus,4556568449113915,dark skinned,Digital imaging technician,Stratabiz,173,109.7
476,659 Edsel Road,North Hollywood,CA,California,818-392-3224,Leo,5312736467231891,white,Snowmobile mechanic,Dream Home Improvements,156,82.8
477,2113 Parkview Drive,Houston,TX,Texas,713-969-3018,Capricorn,4556102429646148,black,Animal breeder,Advansed Teksyztems,181,60.7
478,2508 Pleasant Hill Road,Los Angeles,CA,California,562-236-4714,Leo,5509042970230832,black,Gaming and sports book writer,Reliable Investments,173,65.5
479,2977 Linden Avenue,Orlando,FL,Florida,407-594-6554,Virgo,4716803278950005,white,Motorcycle mechanic,,156,60.4
480,225 Pursglove Court,Dayton,OH,Ohio,937-302-7371,Taurus,4485598998348451,dark skinned,Veterinary technician,Body Fate,177,99.9
481,1286 Michael Street,Houston,TX,Texas,713-840-2830,Taurus,5537864331437855,white,Data input clerk,Museum Company,157,78.2
482,2334 Stutler Lane,Erie,PA,Pennsylvania,814-493-4292,Libra,5538209034560745,black,Emergency physician,Affinity Investment Group,159,82.2
483,1259 Lynn Street,Newton,MA,Massachusetts,617-219-3823,Aries,5450636184661127,white,Knitting machine operator,Little Tavern,164,84.3
484,1920 Blane Street,Stlouis,MO,Missouri,314-580-5684,Gemini,4.53205E+15,white,Job binding worker,Big Bear Stores,171,65.2
485,2696 County Line Road,St George,FL,Florida,727-771-3778,Sagittarius,5275620797206721,white,Real estate appraiser,Ideal Garden Management,160,74.3
486,714 Rockford Mountain Lane,Green Bay,WI,Wisconsin,920-224-1969,Aries,4556948983658667,dark skinned,Support staff specialist,Suadela Investment,183,76.6
487,4665 Main Street,Lynnwood,WA,Washington,425-712-5661,Aries,4485175936590997,black,Athletic director,Allied Radio,154,101.1
488,1387 Bassell Avenue,Wichita,AR,Arkansas,501-641-9753,Sagittarius,4532214462199312,black,Network administrator,Kiddie City,151,100.2
489,2330 Smith Road,Lilburn,GA,Georgia,770-935-9700,Pisces,4485558215269427,white,Amusement and recreation attendant,Twin Food Stores,157,57.2
490,2308 Patton Lane,Knight Dale,NC,North Carolina,919-217-6195,Scorpio,5501659826303584,white,Public defender,Big Apple,172,69.8
491,1362 Ritter Avenue,Southfield,MI,Michigan,586-587-8890,Cancer,5160775240514101,black,Pest control technician,DGS VolMAX,175,81.7
492,4773 Sherman Street,Salina,KS,Kansas,785-820-8981,Pisces,5237276357206853,white,Financial investigator,Square Circle,158,65.8
493,4025 Sycamore Fork Road,Minneapolis,MN,Minnesota,952-927-5018,Gemini,4532921814375198,white,Osteopathic physician,Quest Technology Service,151,54.3
494,4619 Mount Olive Road,Decatur,GA,Georgia,678-925-5975,Gemini,4485324352978654,white,Mapping technician,Brooks Fashions,180,81.4
495,3926 Elk Creek Road,Norcross,GA,Georgia,770-441-2844,Gemini,5.39593E+15,black,Student services director,Afterthoughts,178,70.1
496,2546 Oakwood Circle,Fullerton,CA,California,949-370-2296,Capricorn,5155261700709843,dark skinned,Engineering technician,House Of Denmark,179,64.8
497,4079 Margaret Street,Houston,TX,Texas,713-909-5779,Aquarius,4716543599300346,black,Convention manager,Just For Fun,183,104.2
498,3643 Marshall Street,Parkville,MD,Maryland,410-665-6143,Aries,4929975076712531,white,Physician assistant,Henry's Hamburgers,157,70.9
499,2395 Turkey Pen Lane,Montgomery,AL,Alabama,334-553-1362,Capricorn,4556440547774636,black,Cashier,Weingarten's,189,79.7
500,2629 Foley Street,Fort Lauderdale,FL,Florida,954-688-7847,Sagittarius,5220606397670446,black,Dredge operator,Strategy Planner,169,62.4
501,2991 Comfort Court,Madison,WI,Wisconsin,608-238-1221,Taurus,4916132791981802,black,Residential electrician,P. Samuels Men's Clothiers,168,65.4
502,3566 Park Boulevard,Searsboro,IA,Iowa,641-678-6227,Leo,4916255493124106,black,Actuarie,Computer City,172,56.6
503,4433 Pinnickinnick Street,New Brunswick,NJ,New Jersey,732-873-6787,Aries,4539050165324069,dark skinned,Marketing coordinator,Garden Master,173,78.3
504,916 Khale Street,Beaufort,SC,South Carolina,843-644-1592,Aries,5196752727075516,black,Underwriter,Garden Guru,164,104.7
505,4336 Single Street,Bedford,MA,Massachusetts,781-671-7512,Leo,4556236716985858,white,Office assistant,Infinite Wealth,171,82.3
506,2296 Bastin Drive,Philadelphia,PA,Pennsylvania,484-654-5792,Taurus,5485941169809926,black,Music arranger,Success Is Yours,167,68.5
507,4788 May Street,Somerset,KY,Kentucky,606-308-8362,Taurus,4556997213680751,black,Extruding and forming machine setter,P. Samuels Men's Clothiers,177,100.7
508,2766 Ferry Street,Florence,AL,Alabama,256-766-7931,Leo,4.53977E+15,white,Athletic trainer,Liberty Wealth Planners,163,79.4
509,2875 Willis Avenue,Deltona,FL,Florida,386-561-8269,Taurus,5183570316835826,black,Rolling machine setter,Dahlkemper's,167,96.7
510,2079 Heliport Loop,Seymour,IN,Indiana,812-680-6372,Leo,4716663714138502,black,Weigher,Mighty Casey's,157,77
511,171 Settlers Lane,Huntington,NY,New York,917-803-6863,Aries,4485979711800756,black,Coach,Glicks Furniture,166,95.2
512,1660 Beechwood Avenue,Piscataway,NJ,New Jersey,908-816-4491,Aries,4716860667259919,dark skinned,Mail handler,Zantigo,170,115
513,2800 Limer Street,Atlanta,GA,Georgia,706-522-3660,Cancer,4716104190538642,black,Market and survey researcher,The Serendipity Dip,160,103.9
514,2255 Jones Street,Frisco,TX,Texas,817-486-2763,Leo,5.50593E+15,dark skinned,Lithographer,Fretter,171,60.6
515,931 Hood Avenue,San Diego,CA,California,858-799-2346,Aquarius,4539719736731305,black,Engineering and natural sciences manager,Prestiga-Biz,169,82.1
516,994 Terra Cotta Street,Henning,MN,Minnesota,218-583-6137,Cancer,4916358860571014,black,Dental surgery doctor,Audio Visions,171,78.1
517,1356 Duffy Street,Northbrook,IN,Indiana,219-792-6682,Virgo,5253898842220527,black,Order processor,Sound Warehouse,174,54.6
518,3895 Bird Street,Animas,NM,New Mexico,505-548-0749,Taurus,5254605838334108,dark skinned,Fabricator,Angel's,171,71.4
519,4934 Farland Avenue,Campbellton,TX,Texas,830-579-4725,Libra,4539472520175392,white,Staffing manager,Happy Bear Investment,163,91.4
520,1438 Jerry Dove Drive,Florence,SC,South Carolina,843-461-5679,Pisces,4916191094111137,white,Developmental disabilities nurse,Weathervane,154,96.1
521,3357 Hickman Street,Oak Brook,IL,Illinois,630-456-1335,Leo,5464995715875364,dark skinned,"Cutting, punching, and press machine tender",Electronics Source,184,107.3
522,2036 Rhapsody Street,Mount Dora,FL,Florida,352-383-4517,Gemini,5424383172485978,black,Management accountant,HouseWorks!,184,78.3
523,1349 Parkway Drive,Tucson,AZ,Arizona,520-390-7726,Cancer,4532028241355585,dark skinned,Fitness trainer,Big D Supermarkets,182,102.7
524,4152 Sycamore Lake Road,Green Bay,WI,Wisconsin,920-473-5306,Gemini,4556044922514086,white,Parking enforcement worker,Sun Television and Appliances,169,69.8
525,3729 Daffodil Lane,Savage,VA,Virginia,703-422-4656,Aries,4716705623469534,black,Ceiling tile installer,William Wanamaker & Sons,155,56.9
526,3756 Lynn Street,Boston,MA,Massachusetts,617-261-7602,Virgo,4556622048670286,black,Neonatal nurse,Incluesiv,163,83.9
527,3638 Snider Street,Florence,CO,Colorado,719-784-4356,Gemini,4556851302059999,black,Harbor pilot,University Stereo,172,73.8
528,4463 Burnside Avenue,Lake Powell,UT,Utah,435-684-7675,Cancer,4929497365019304,black,Gaming surveillance officer,Lechmere,171,97.1
529,3018 Skinner Hollow Road,Roseburg,OR,Oregon,541-817-7359,Capricorn,5179191712962555,white,Workforce development officer,Helios Air,181,86.9
530,1040 Mount Olive Road,Gainesville,GA,Georgia,678-897-4390,Cancer,5203809920608625,black,Legal secretary,National Auto Parts,188,99.9
531,66 Desert Broom Court,Teterboro,NJ,New Jersey,201-679-6337,Aquarius,4916257801034639,black,Teacher assistant,J. B. Van Sciver,162,68.7
532,2706 Arrowood Drive,Jacksonville,FL,Florida,904-429-9164,Cancer,5592127640169086,black,Homemaker,JumboSports,157,50
533,516 Cambridge Drive,Phoenix,AZ,Arizona,623-760-1268,Cancer,5.24693E+15,dark skinned,Psychiatric nurse,A Plus Lawn Care,157,68.5
534,1544 Roguski Road,Marksville,LA,Louisiana,318-253-1616,Aries,5347550144337164,black,Correctional treatment specialist,The Flying Bear,183,61.1
535,4338 Hill Street,Lima,OH,Ohio,419-780-0388,Pisces,4916888837738585,black,Documentation specialist,Monk House Maker,176,64.4
536,1501 Freedom Lane,Dos Palos,CA,California,209-387-5984,Virgo,4716869095001959,dark skinned,Information specialist,Desmonds Formal Wear,159,86.5
537,2729 Buckhannan Avenue,Liverpool,NY,New York,315-457-8424,Gemini,5301644254546088,black,Gynecologic sonographer,Creative Wealth,188,96.9
538,4738 Smith Road,Cumming,GA,Georgia,770-886-4386,Sagittarius,5134350328130957,black,Cryptanalyst,Knox Lumber,168,62.5
539,3543 Melm Street,Port Orange,FL,Florida,386-957-6298,Aries,4.53246E+15,black,Aerobics instructor,The Warner Brothers Store,168,66.3
540,3261 Kessla Way,Olanta,SC,South Carolina,843-396-2713,Libra,4485419728177047,black,Call completion operator,"Warehouse Club, Inc.",175,96.7
541,3893 Jehovah Drive,Troutville,VA,Virginia,540-443-1857,Libra,5526078477824973,white,Restaurant chef,Thalhimers,153,92.6
542,1238 Emeral Dreams Drive,Arlington Heights,IL,Illinois,815-230-8390,Aquarius,5207209212110628,white,College faculty,H. J. Wilson & Company,190,72.1
543,1702 Chandler Drive,Republic,MO,Missouri,417-647-3156,Capricorn,4532245836759506,white,Biological-physical anthropologist,Quality Merchant Services,158,74.4
544,561 Pine Tree Lane,Annapolis Junction,MD,Maryland,240-393-8923,Taurus,4716643403026366,black,Slot key person,O.K. Fairbanks,171,89.7
545,2327 Clinton Street,Casa,AR,Arkansas,501-233-4892,Capricorn,5.33609E+15,white,Sales clerk,Multi Tech Development,157,74.4
546,2638 Jenna Lane,Urbandale,IA,Iowa,515-253-1419,Aries,5465723239245248,black,Credit analyst,Alladin Realty,168,97
547,1291 Caldwell Road,East Rochester,NY,New York,585-203-0507,Capricorn,4539042099488961,dark skinned,Archivist,Red Fox Tavern,176,94.8
548,1759 Augusta Park,Morgantown,WV,West Virginia,304-777-6981,Taurus,4916325111185548,dark skinned,Animal care and service worker,Erb Lumber,171,99.5
549,451 Conference Center Way,Mclean,VA,Virginia,571-237-9180,Virgo,4532218925495902,dark skinned,Criminal investigator,The Warner Brothers Store,171,95.7
550,3807 Meadowcrest Lane,Lexington,KY,Kentucky,606-541-2339,Gemini,5101462927575661,black,Employee benefits manager,Mostow Co.,168,59.5
551,4332 Cunningham Court,Southfield,MI,Michigan,248-715-4384,Taurus,4929608969861947,black,Promotions specialist,Gas Legion,176,96.7
552,2971 Waterview Lane,Las Vegas,NM,New Mexico,505-454-7956,Pisces,4.4852E+15,dark skinned,Human resources associate,Ideal Garden Management,183,74.4
553,1421 Ash Street,Irving,TX,Texas,972-831-3412,Sagittarius,5411134145658554,white,"Extruding, forming, pressing, and compacting machine tender",Copeland Sports,168,48.4
554,2580 Diamond Cove,Providence,RI,Rhode Island,401-360-0823,Cancer,5.21258E+15,white,Credit reporter,Your Choices,181,65.7
