Number,Sex,Survived,NameSet,Title,Name,Age,Pclass,SibSp,Parch,Ticket,Fare,Cabin,Embarked
337,female,0,American,Mrs.,Teresa Seawell,29,1,1,0,113776,66.6,C2,S
338,male,1,American,Mr.,James Potter,41,1,0,0,16966,134.5,E40,C
339,male,1,American,Mr.,Ruben Darden,45,3,0,0,7598,8.05,,S
340,male,0,American,Mr.,Benjamin Williams,45,1,0,0,113784,35.5,T,S
341,male,1,American,Mr.,Charles Ball,2,2,1,1,230080,26,F2,S
342,male,1,American,Mr.,Raymond Taylor,24,1,3,2,19950,263,C23 C25 C27,S
343,male,0,American,Mr.,Scott Hale,28,2,0,0,248740,13,,S
344,female,0,American,Mrs.,Michele Murphy,25,2,0,0,244361,13,,S
345,female,0,American,Dr.,Marion King,36,2,0,0,229236,13,,S
346,male,1,American,Mr.,Benjamin Boyd,24,2,0,0,248733,13,F33,S
347,female,1,American,Ms.,Veronica Finch,40,2,0,0,31418,13,,S
348,female,1,American,Mrs.,Frances Wilson,,3,1,0,386525,16.1,,S
349,female,1,American,Ms.,Alice Farrington,3,3,1,1,C.A. 37671,15.9,,S
350,male,0,American,Mr.,Ronald Rayford,42,3,0,0,315088,86.625,,S
351,female,0,American,Mrs.,Edna Bowman,23,3,0,0,7267,9.225,,S
352,male,0,American,Mr.,Walter Morrison,,1,0,0,113510,35,C128,S
353,female,0,American,Mrs.,Leah Martinez,15,3,1,1,2695,72.292,,C
354,female,0,American,Ms.,Elizabeth Scarbrough,25,3,1,0,349237,17.8,,S
355,male,0,American,Mr.,Gustavo Browne,,3,0,0,2647,7.225,,C
356,female,0,American,Ms.,Doris Amey,28,3,0,0,345783,9.5,,S
357,female,1,American,Mrs.,Susan Phillips,22,1,0,1,113505,55,E33,S
358,female,0,American,Ms.,Pamela Jones,38,2,0,0,237671,13,,S
359,male,1,American,Mr.,Clyde Crawford,,3,0,0,330931,78.792,,Q
360,male,1,American,Mr.,William Youngblood,,3,0,0,330980,78.792,,Q
361,male,0,American,Mr.,Willie Alarcon,40,3,1,4,347088,27.9,,S
362,male,0,American,Mr.,John Wagnon,29,2,1,0,SC/PARIS 2167,277.208,,C
363,male,0,American,Mr.,Eduardo Parkhurst,45,3,0,1,2691,144.542,,C
364,male,0,American,Mr.,Fabian Hurt,35,3,0,0,SOTON/O.Q. 3101310,7.05,,S
365,female,0,American,Ms.,Karen Frank,,3,1,0,370365,15.5,,Q
366,male,0,American,Mr.,Christopher Salazar,30,3,0,0,C 7076,7.25,,S
367,male,1,American,Mr.,Frank Rasmussen,60,1,1,0,110813,75.25,D37,C
368,male,1,American,Mr.,Carl Blume,,3,0,0,2626,72.292,,C
369,female,1,American,Mrs.,Lillie Obregon,,3,0,0,14313,7.75,,Q
370,male,1,American,Mr.,George McGinnis,24,1,0,0,PC 17477,69.3,B35,C
371,male,1,American,Mr.,Jeffrey Strand,25,1,1,0,11765,554.417,E50,C
372,male,0,American,Mr.,Winfred Rentas,18,3,1,0,3101267,64.958,,S
373,female,0,American,Ms.,Pam Carlton,19,3,0,0,323951,8.05,,S
374,male,0,American,Mr.,Michael Petersen,22,1,0,0,PC 17760,1.356.333,,C
375,male,0,American,Mr.,Francisco Robinson,3,3,3,1,349909,21.075,,S
376,male,1,American,Mr.,Luther Payne,,1,1,0,PC 17604,821.708,,C
377,male,1,American,Mr.,Adam Reiser,22,3,0,0,C 7077,7.25,,S
378,female,0,American,Ms.,Yvette Bloomfield,27,1,0,2,113503,211.5,C82,C
379,male,0,American,Mr.,Neal Turner,20,3,0,0,2648,40.125,,C
380,male,0,American,Mr.,Richard Price,19,3,0,0,347069,7.775,,S
381,male,1,American,Mr.,James Kelly,42,1,0,0,PC 17757,227.525,,C
382,female,1,American,Mrs.,Dorothy Burrows,1,3,0,2,2653,157.417,,C
383,male,0,American,Mr.,Donald Hoard,32,3,0,0,STON/O 2. 3101293,7.925,,S
384,female,1,American,Ms.,Janet Jones,35,1,1,0,113789,52,,S
385,female,0,American,Ms.,Crystal Smith,,3,0,0,349227,78.958,,S
386,male,0,American,Mr.,Theodore O'Neill,18,2,0,0,S.O.C. 14879,73.5,,S
387,female,0,American,Mrs.,Angela Youngblood,1,3,5,2,CA 2144,46.9,,S
388,female,1,American,Mrs.,Gloria Bayerl,36,2,0,0,27849,13,,S
389,female,0,American,Mrs.,Jacqueline Willett,,3,0,0,367655,77.292,,Q
390,female,1,American,Mrs.,Colleen Scales,17,2,0,0,SC 1748,12,,C
391,male,1,American,Mr.,Robert Summers,36,1,1,2,113760,120,B96 B98,S
392,male,1,American,Mr.,Tyson Alexander,21,3,0,0,350034,77.958,,S
393,male,0,American,Mr.,James Lavender,28,3,2,0,3101277,7.925,,S
394,male,1,American,Mr.,Gary Rodriguez,23,1,1,0,35273,113.275,D36,C
395,female,1,American,Mrs.,Leona Sanchez,24,3,0,2,PP 9549,16.7,G6,S
396,male,0,American,Mr.,James Nichols,22,3,0,0,350052,77.958,,S
397,female,0,American,Ms.,Britney Frei,31,3,0,0,350407,78.542,,S
398,male,0,American,Mr.,Moises Martin,46,2,0,0,28403,26,,S
399,female,0,American,Ms.,Crystal Whaley,23,2,0,0,244278,10.5,,S
400,male,1,American,Mr.,Jacob Stec,28,2,0,0,240929,12.65,,S
401,female,1,American,Mrs.,Phyllis Simmons,39,3,0,0,STON/O 2. 3101289,7.925,,S
402,male,0,American,Mr.,Simon Schroyer,26,3,0,0,341826,8.05,,S
403,male,0,American,Mr.,Frederick Dunham,21,3,1,0,4137,9.825,,S
404,female,0,American,Mrs.,Olive Askew,28,3,1,0,STON/O2. 3101279,15.85,,S
405,male,0,American,Mr.,Stephen Briggs,20,3,0,0,315096,86.625,,S
406,female,0,American,Mrs.,Mamie Mosley,34,2,1,0,28664,21,,S
407,male,0,American,Mr.,Raymond Cooper,51,3,0,0,347064,7.75,,S
408,female,1,American,Ms.,Lynne Santos,3,2,1,1,29106,18.75,,S
409,male,0,American,Mr.,Raymond Phillips,21,3,0,0,312992,7.775,,S
410,male,0,American,Mr.,Fred Marsh,,3,3,1,4133,254.667,,S
411,male,0,American,Mr.,Tyler Hunt,,3,0,0,349222,78.958,,S
412,female,0,American,Ms.,Terry Chumley,,3,0,0,394140,68.583,,Q
413,female,1,American,Ms.,Joan Kerr,33,1,1,0,19928,90,C78,Q
414,female,0,American,Mrs.,Ashley Gale,,2,0,0,239853,0,,S
415,male,1,American,Mr.,Eric Koehler,44,3,0,0,STON/O 2. 3101269,7.925,,S
416,male,0,American,Mr.,Kenneth Bishop,,3,0,0,343095,8.05,,S
417,female,1,American,Ms.,Jean Gant,34,2,1,1,28220,32.5,,S
418,female,1,American,Ms.,Sara Shealy,18,2,0,2,250652,13,,S
419,female,0,American,Ms.,Tracie Paquette,30,2,0,0,28228,13,,S
420,female,0,American,Mrs.,Anne Patterson,10,3,0,2,345773,24.15,,S
421,male,0,American,Mr.,Bradley Meli,,3,0,0,349254,78.958,,C
422,male,0,American,Mr.,Tommy Helms,21,3,0,0,A/5. 13032,77.333,,Q
423,female,0,American,Mrs.,Leigh Harry,29,3,0,0,315082,7.875,,S
424,male,0,American,Mr.,Aaron Fitzgibbon,28,3,1,1,347080,14.4,,S
425,male,0,American,Mr.,George Dobbins,18,3,1,1,370129,202.125,,S
426,female,0,American,Mrs.,Margaret Dominguez,,3,0,0,A/4. 34244,7.25,,S
427,female,1,American,Mrs.,Ashley Etchison,28,2,1,0,2003,26,,S
428,male,1,American,Mr.,Roy Kurtz,19,2,0,0,250655,26,,S
429,female,0,American,Ms.,Julia Quirion,,3,0,0,364851,7.75,,Q
430,male,1,American,Mr.,Juan Davis,32,3,0,0,SOTON/O.Q. 392078,8.05,E10,S
431,male,1,American,Mr.,Joseph Lawler,28,1,0,0,110564,26.55,C52,S
432,male,1,American,Mr.,John Klinger,,3,1,0,376564,16.1,,S
433,female,1,American,Mrs.,Lisa Castle,42,2,1,0,SC/AH 3085,26,,S
434,male,0,American,Mr.,Curtis Alger,17,3,0,0,STON/O 2. 3101274,7.125,,S
435,male,0,American,Mr.,Melvin Redmond,50,1,1,0,13507,55.9,E44,S
436,female,1,American,Mrs.,Melba Zeitler,14,1,1,2,113760,120,B96 B98,S
437,male,0,American,Mr.,Vaughn Gomez,21,3,2,2,W./C. 6608,34.375,,S
438,female,1,American,Ms.,Vera Henderson,24,2,2,3,29106,18.75,,S
439,female,0,American,Ms.,Kathryn Peterson,64,1,1,4,19950,263,C23 C25 C27,S
440,male,0,American,Mr.,John Morales,31,2,0,0,C.A. 18723,10.5,,S
441,female,1,American,Ms.,Monica Diaz,45,2,1,1,F.C.C. 13529,26.25,,S
442,male,0,American,Mr.,Gary Janson,20,3,0,0,345769,9.5,,S
443,male,0,American,Mr.,Bradley Bloomfield,25,3,1,0,347076,7.775,,S
444,female,1,American,Mrs.,Edith Howard,28,2,0,0,230434,13,,S
445,female,1,American,Ms.,Nancy Carter,,3,0,0,65306,81.125,,S
446,female,1,American,Mrs.,Vicki Hinton,4,1,0,2,33638,818.583,A34,S
447,female,1,American,Ms.,Ida Leclaire,13,2,0,1,250644,19.5,,S
448,female,1,American,Mrs.,Mary McCann,34,1,0,0,113794,26.55,,S
449,female,1,American,Ms.,Jovita Goodnight,5,3,2,1,2666,192.583,,C
450,female,1,American,Ms.,Sarah Gamble,52,1,0,0,113786,30.5,C104,S
451,male,0,American,Mr.,Thomas Fredericksen,36,2,1,2,C.A. 34651,27.75,,S
452,female,0,American,Ms.,Socorro Beatty,,3,1,0,65303,199.667,,S
453,male,0,American,Mr.,George Wells,30,1,0,0,113051,27.75,C111,C
454,male,1,American,Mr.,Harold Moxley,49,1,1,0,17453,891.042,C92,C
455,male,0,American,Mr.,Christopher Nelson,,3,0,0,A/5 2817,8.05,,S
456,female,1,American,Ms.,Betty Erickson,29,3,0,0,349240,78.958,,C
457,female,0,American,Ms.,Lynn Blackwell,65,1,0,0,13509,26.55,E38,S
458,female,1,American,Mrs.,Bernice Muse,,1,1,0,17464,518.625,D21,S
459,female,1,American,Mrs.,Elva Thole,50,2,0,0,F.C.C. 13531,10.5,,S
460,male,0,American,Mr.,William Rockwell,,3,0,0,371060,7.75,,Q
461,female,1,American,Ms.,Jana Vazquez,48,1,0,0,19952,26.55,E12,S
462,female,0,American,Ms.,Maria Livingston,34,3,0,0,364506,8.05,,S
463,female,0,American,Ms.,Janice Balsamo,47,1,0,0,111320,38.5,E63,S
464,male,0,American,Mr.,Grover Pratt,48,2,0,0,234360,13,,S
465,male,0,American,Mr.,Eric Sims,,3,0,0,A/S 2816,8.05,,S
466,male,0,American,Mr.,Bryan Jenkins,38,3,0,0,SOTON/O.Q. 3101306,7.05,,S
467,female,0,American,Mrs.,Barbara Wilkins,,2,0,0,239853,0,,S
468,female,0,American,Ms.,Trisha Harris,56,1,0,0,113792,26.55,,S
469,male,0,American,Mr.,Forrest Taylor,,3,0,0,36209,7.725,,Q
470,male,1,American,Mr.,Dennis Calderon,0.75,3,2,1,2666,192.583,,C
471,female,0,American,Ms.,Theresa Sandberg,,3,0,0,323592,7.25,,S
472,male,0,American,Mr.,Jackson Martin,38,3,0,0,315089,86.625,,S
473,female,1,American,Ms.,Avis Jones,33,2,1,2,C.A. 34651,27.75,,S
474,female,1,American,Mrs.,Jenifer Lash,23,2,0,0,SC/AH Basle 541,137.917,D,C
475,male,0,American,Mr.,Roger Valenzuela,22,3,0,0,7553,98.375,,S
476,female,0,American,Mrs.,Geraldine Bork,,1,0,0,110465,52,A14,S
477,male,0,American,Mr.,Lonny Toth,34,2,1,0,31027,21,,S
478,male,0,American,Mr.,Jason Beck,29,3,1,0,3460,70.458,,S
479,female,0,American,Ms.,Paula Stine,22,3,0,0,350060,75.208,,S
480,male,1,American,Mr.,Francis Cranor,2,3,0,1,3101298,122.875,,S
481,female,0,American,Mrs.,Trisha Wallace,9,3,5,2,CA 2144,46.9,,S
482,female,0,American,Ms.,Ashley Miller,,2,0,0,239854,0,,S
483,male,0,American,Mr.,Vincent Brewton,50,3,0,0,A/5 3594,8.05,,S
484,female,1,American,Dr.,Maude Staley,63,3,0,0,4134,95.875,,S
485,female,1,American,Mrs.,Alicia Baker,25,1,1,0,11967,910.792,B49,C
486,male,0,American,Mr.,Sam Palmer,,3,3,1,4133,254.667,,S
487,female,1,American,Ms.,Patricia Smith,35,1,1,0,19943,90,C93,S
488,female,0,American,Ms.,Ruth Martinez,58,1,0,0,11771,29.7,B37,C
489,female,0,American,Ms.,Carla Harris,30,3,0,0,A.5. 18509,8.05,,S
490,male,1,American,Mr.,Jon Hinton,9,3,1,1,C.A. 37671,15.9,,S
491,male,0,American,Mr.,Kris Stemple,,3,1,0,65304,199.667,,S
492,female,0,American,Ms.,Minnie Grossman,21,3,0,0,SOTON/OQ 3101317,7.25,,S
493,female,0,American,Mrs.,Danielle Jimenez,55,1,0,0,113787,30.5,C30,S
494,male,0,American,Mr.,Pete Brodie,71,1,0,0,PC 17609,495.042,,C
495,male,0,American,Mr.,Anthony Guest,21,3,0,0,A/4 45380,8.05,,S
496,male,0,American,Mr.,Gregory Jessop,,3,0,0,2627,144.583,,C
497,male,1,American,Mr.,Ken Witter,54,1,1,0,36947,782.667,D20,C
498,female,0,American,Ms.,Lenora Williams,,3,0,0,C.A. 6212,15.1,,S
499,male,0,American,Mr.,Jerry Couture,25,1,1,2,113781,151.55,C22 C26,S
500,female,0,American,Mrs.,Lisa McLeod,24,3,0,0,350035,77.958,,S
501,male,0,American,Mr.,Steve Dalton,17,3,0,0,315086,86.625,,S
502,female,0,American,Mrs.,Geneva Johnson,21,3,0,0,364846,7.75,,Q
503,female,0,American,Mrs.,Michelle Kogut,,3,0,0,330909,76.292,,Q
504,male,0,American,Mr.,Herman Petty,37,3,0,0,4135,95.875,,S
505,female,1,American,Ms.,Barbara Bland,16,1,0,0,110152,86.5,B79,S
506,female,0,American,Mrs.,Agnes Swartz,18,1,1,0,PC 17758,108.9,C65,C
507,male,1,American,Mr.,Joseph Bober,33,2,0,2,26360,26,,S
508,female,1,American,Mrs.,Margaret Pitt,,1,0,0,111427,26.55,,S
509,female,0,American,Mrs.,Lashunda Blackburn,28,3,0,0,C 4001,22.525,,S
510,female,1,American,Ms.,Beth Cummings,26,3,0,0,1601,564.958,,S
511,male,1,American,Mr.,Willis Pina,29,3,0,0,382651,7.75,,Q
512,male,0,American,Mr.,Douglas Shull,,3,0,0,SOTON/OQ 3101316,8.05,,S
513,female,1,American,Mrs.,Catherine Stone,36,1,0,0,PC 17473,262.875,E25,S
514,female,1,American,Mrs.,Amber Dumais,54,1,1,0,PC 17603,59.4,,C
515,male,0,American,Mr.,Benjamin Howard,24,3,0,0,349209,74.958,,S
516,male,0,American,Mr.,Ryan Nicoll,47,1,0,0,36967,340.208,D46,S
517,female,1,American,Mrs.,Mae Anthony,34,2,0,0,C.A. 34260,10.5,F33,S
518,female,0,American,Mrs.,Karen Ragan,,3,0,0,371110,24.15,,Q
519,female,1,American,Mrs.,Margaret McCants,36,2,1,0,226875,26,,S
520,female,0,American,Dr.,Alice McDonald,32,3,0,0,349242,78.958,,S
521,male,1,American,Mr.,Freddie Harry,30,1,0,0,12749,93.5,B73,S
522,male,0,American,Mr.,Stanton Santana,22,3,0,0,349252,78.958,,S
523,male,0,American,Mr.,Charles Spiers,,3,0,0,2624,7.225,,C
524,female,1,American,Ms.,Pamela Lefebvre,44,1,0,1,111361,579.792,B18,C
525,female,0,American,Mrs.,Michelle Brown,,3,0,0,2700,72.292,,C
526,male,0,American,Mr.,Bradley Benavidez,40.5,3,0,0,367232,7.75,,Q
527,male,1,American,Mr.,Daniel Myers,50,2,0,0,W./C. 14258,10.5,,S
528,male,0,American,Mr.,Joseph Maldonado,,1,0,0,PC 17483,2.217.792,C95,S
529,male,0,American,Mr.,Brandon Vargas,39,3,0,0,3101296,7.925,,S
530,male,0,American,Mr.,Mark Schreiber,23,2,2,1,29104,11.5,,S
531,female,1,American,Mrs.,Mamie Bartley,2,2,1,1,26360,26,,S
532,female,0,American,Ms.,Renetta Miller,,3,0,0,2641,72.292,,C
533,female,0,American,Mrs.,Lavon Gordon,17,3,1,1,2690,72.292,,C
534,male,1,American,Mr.,Harold Brown,,3,0,2,2668,223.583,,C
535,male,0,American,Mr.,Michael Rhodes,30,3,0,0,315084,86.625,,S
536,female,1,American,Mrs.,Linda Garcia,7,2,0,2,F.C.C. 13529,26.25,,S
537,male,0,American,Mr.,Michael Tardiff,45,1,0,0,113050,26.55,B38,S
538,male,1,American,Mr.,James Chambers,30,1,0,0,PC 17761,106.425,,C
539,female,0,American,Ms.,Afton Heine,,3,0,0,364498,14.5,,S
540,female,1,American,Ms.,Penny Gantt,22,1,0,2,13568,49.5,B39,C
541,female,1,American,Ms.,Leslie Torres,36,1,0,2,WE/P 5735,71,B22,S
542,male,0,American,Mr.,Mack Anderson,9,3,4,2,347082,31.275,,S
543,female,0,American,Ms.,Beverly Deluca,11,3,4,2,347082,31.275,,S
544,female,1,American,Ms.,Marie Rafferty,32,2,1,0,2908,26,,S
545,female,0,American,Mrs.,Candice Grosse,50,1,1,0,PC 17761,106.425,C86,C
546,male,0,American,Mr.,Christian Wolf,64,1,0,0,693,26,,S
547,male,1,American,Mr.,William Parker,19,2,1,0,2908,26,,S
548,female,1,American,Mrs.,Diane Kirk,,2,0,0,SC/PARIS 2146,138.625,,C
549,male,0,American,Mr.,Floyd Vaughn,33,3,1,1,363291,20.525,,S
550,female,1,American,Ms.,Barbara Coffin,8,2,1,1,C.A. 33112,36.75,,S
551,male,1,American,Mr.,Steven Kolodziej,17,1,0,2,17421,1.108.833,C70,C
552,male,0,American,Mr.,Daniel Green,27,2,0,0,244358,26,,S
553,female,0,American,Ms.,Guadalupe Frederick,,3,0,0,330979,78.292,,Q
554,male,1,American,Mr.,Robert Hiller,22,3,0,0,2620,7.225,,C
555,female,1,American,Ms.,Rhonda Hamilton,22,3,0,0,347085,7.775,,S
556,female,0,American,Ms.,Rosanna Grimmett,62,1,0,0,113807,26.55,,S
557,male,1,American,Mr.,Gregory Cheney,48,1,1,0,11755,39.6,A16,C
558,female,0,American,Mrs.,Rita Gifford,,1,0,0,PC 17757,227.525,,C
559,female,1,American,Ms.,Dawn Odell,39,1,1,1,110413,79.65,E67,S
560,female,1,American,Ms.,Mary Nestor,36,3,1,0,345572,17.4,,S
561,female,0,American,Ms.,Christina Williamson,,3,0,0,372622,7.75,,Q
562,female,0,American,Ms.,Kathryn Davidson,40,3,0,0,349251,78.958,,S
563,male,0,American,Mr.,Daniel Utz,28,2,0,0,218629,13.5,,S
564,female,0,American,Mrs.,Cynthia Hutton,,3,0,0,SOTON/OQ 392082,8.05,,S
565,female,0,American,Mrs.,Grace Peter,,3,0,0,SOTON/O.Q. 392087,8.05,,S
566,female,0,American,Mrs.,Kimberly Buckley,24,3,2,0,A/4 48871,24.15,,S
567,female,0,American,Mrs.,Eloise Weissinger,19,3,0,0,349205,78.958,,S
568,male,0,American,Mr.,Anthony Scott,29,3,0,4,349909,21.075,,S
569,male,0,American,Dr.,Robbie Medina,,3,0,0,2686,72.292,,C
570,female,1,American,Ms.,Alice Luce,32,3,0,0,350417,78.542,,S
571,female,1,American,Mrs.,Eula Cook,62,2,0,0,S.W./PP 752,10.5,,S
572,female,1,American,Mrs.,Polly Montano,53,1,2,0,11769,514.792,C101,S
573,female,1,American,Ms.,Amanda Hayles,36,1,0,0,PC 17474,263.875,E25,S
574,male,1,American,Mr.,David Vu,,3,0,0,14312,7.75,,Q
575,male,0,American,Mr.,Mark Parsons,16,3,0,0,A/4. 20589,8.05,,S
576,male,0,American,Mr.,Gregory Moore,19,3,0,0,358585,14.5,,S
577,male,1,American,Mr.,Donald West,34,2,0,0,243880,13,,S
578,male,1,American,Mr.,Robert Fresquez,39,1,1,0,13507,55.9,E44,S
579,female,0,American,Ms.,Amanda Adair,,3,1,0,2689,144.583,,C
580,female,1,American,Mrs.,Marcie Mettler,32,3,0,0,STON/O 2. 3101286,7.925,,S
581,female,1,American,Mrs.,Christie McKenna,25,2,1,1,237789,30,,S
582,male,1,American,Mr.,Lloyd Sea,39,1,1,1,17421,1.108.833,C68,C
583,male,0,American,Mr.,Henry Doty,54,2,0,0,28403,26,,S
584,female,0,American,Mrs.,Florence Ashe,36,1,0,0,13049,40.125,A10,C
585,male,0,American,Mr.,Orville Stumpf,,3,0,0,3411,87.125,,C
586,female,1,American,Mrs.,Sallie Miller,18,1,0,2,110413,79.65,E68,S
587,male,0,American,Mr.,Larry Hightower,47,2,0,0,237565,15,,S
588,male,1,American,Mr.,Thomas Austin,60,1,1,1,13567,79.2,B41,C
589,male,0,American,Mr.,Daniel Gafford,22,3,0,0,14973,8.05,,S
590,female,0,American,Ms.,Kari Dawes,,3,0,0,A./5. 3235,8.05,,S
591,male,0,American,Mr.,Joshua Lauritsen,35,3,0,0,STON/O 2. 3101273,7.125,,S
592,male,1,American,Mr.,Kevin Gay,52,1,1,0,36947,782.667,D20,C
593,female,0,American,Ms.,Judith Null,47,3,0,0,A/5 3902,7.25,,S
594,male,0,American,Mr.,Merle Monaghan,,3,0,2,364848,7.75,,Q
595,female,0,American,Ms.,Terri Haggerty,37,2,1,0,SC/AH 29037,26,,S
596,female,0,American,Mrs.,Judy Diaz,36,3,1,1,345773,24.15,,S
597,male,1,American,Mr.,Reed Beaudry,,2,0,0,248727,33,,S
598,female,0,American,Mrs.,Simone Wood,49,3,0,0,LINE,0,,S
599,male,0,American,Mr.,Gene Enriquez,,3,0,0,2664,7.225,,C
600,male,1,American,Mr.,Ralph Zelaya,49,1,1,0,PC 17485,569.292,A20,C
601,male,1,American,Mr.,John Holder,24,2,2,1,243847,27,,S
602,male,0,American,Mr.,Nathaniel Gill,,3,0,0,349214,78.958,,S
603,female,0,American,Mrs.,Lisa Hawes,,1,0,0,113796,42.4,,S
604,female,0,American,Mrs.,Caren Powers,44,3,0,0,364511,8.05,,S
605,male,1,American,Mr.,Michael Worthington,35,1,0,0,111426,26.55,,C
606,male,0,American,Mr.,Dustin Collins,36,3,1,0,349910,15.55,,S
607,female,0,American,Mrs.,Chandra Davis,30,3,0,0,349246,78.958,,S
608,male,1,American,Mr.,James Williams,27,1,0,0,113804,30.5,,S
609,female,1,American,Mrs.,April Mathews,22,2,1,2,SC/Paris 2123,415.792,,C
610,female,1,American,Mrs.,James Ouellette,40,1,0,0,PC 17582,1.534.625,C125,S
611,male,0,American,Mr.,Dwayne Johnston,39,3,1,5,347082,31.275,,S
612,female,0,American,Mrs.,Mary McCutcheon,,3,0,0,SOTON/O.Q. 3101305,7.05,,S
613,male,1,American,Mr.,Edgar Meyer,,3,1,0,367230,15.5,,Q
614,female,0,American,Mrs.,Cecil Stoops,,3,0,0,370377,7.75,,Q
615,female,0,American,Ms.,Faye Mattes,35,3,0,0,364512,8.05,,S
616,male,1,American,Mr.,James Merritt,24,2,1,2,220845,65,,S
617,male,0,American,Mr.,Kevin Snyder,34,3,1,1,347080,14.4,,S
618,female,0,American,Ms.,Pamela Girard,26,3,1,0,A/5. 3336,16.1,,S
619,female,1,American,Mrs.,Cynthia Spencer,4,2,2,1,230136,39,F4,S
620,female,0,American,Mrs.,Betty Reynolds,26,2,0,0,31028,10.5,,S
621,male,0,American,Mr.,Dan Calkins,27,3,1,0,2659,144.542,,C
622,female,1,American,Ms.,Denise Evenson,42,1,1,0,11753,525.542,D19,S
623,male,1,American,Mr.,Clarence Boyce,20,3,1,1,2653,157.417,,C
624,male,0,American,Mr.,Ryan Brown,21,3,0,0,350029,78.542,,S
625,male,0,American,Mr.,Horace Lentz,21,3,0,0,54636,16.1,,S
626,male,0,American,Mr.,Peter Ash,61,1,0,0,36963,323.208,D50,S
627,female,0,American,Ms.,Trinidad Williams,57,2,0,0,219533,12.35,,Q
628,male,1,American,Mr.,Stephen Hale,21,1,0,0,13502,779.583,D9,S
629,female,0,American,Ms.,Sarah Bigelow,26,3,0,0,349224,78.958,,S
630,female,0,American,Ms.,Ruth Turner,,3,0,0,334912,77.333,,Q
631,male,1,American,Mr.,Robert Lane,80,1,0,0,27042,30,A23,S
632,female,0,American,Ms.,Joan Nelson,51,3,0,0,347743,70.542,,S
633,female,1,American,Ms.,Lakeisha Butts,32,1,0,0,13214,30.5,B50,C
634,female,0,American,Ms.,Catherine Randall,,1,0,0,112052,0,,S
635,male,0,American,Mr.,Ian Garcia,9,3,3,2,347088,27.9,,S
636,female,1,American,Mrs.,Christina Howlett,28,2,0,0,237668,13,,S
637,female,0,American,Ms.,Thelma Lantz,32,3,0,0,STON/O 2. 3101292,7.925,,S
638,male,0,American,Mr.,Jesus Manning,31,2,1,1,C.A. 31921,26.25,,S
639,female,0,American,Ms.,Melanie Briggs,41,3,0,5,3101295,396.875,,S
640,female,0,American,Dr.,Jody Nelson,,3,1,0,376564,16.1,,S
641,female,0,American,Ms.,Mary Williams,20,3,0,0,350050,78.542,,S
642,male,1,American,Dr.,Nolan Harper,24,1,0,0,PC 17477,69.3,B35,C
643,male,0,American,Mr.,Kristopher Howell,2,3,3,2,347088,27.9,,S
644,male,1,American,Mr.,Terry Bullock,,3,0,0,1601,564.958,,S
645,male,1,American,Mr.,Thomas Sammons,0.75,3,2,1,2666,192.583,,C
646,male,1,American,Mr.,Harry Freeman,48,1,1,0,PC 17572,767.292,D33,C
647,male,0,American,Mr.,Alvin Bolding,19,3,0,0,349231,78.958,,S
648,male,1,American,Mr.,Harris Moses,56,1,0,0,13213,35.5,A26,C
649,male,0,American,Mr.,Timothy Talley,,3,0,0,S.O./P.P. 751,7.55,,S
650,female,1,American,Mrs.,Nancy Turner,23,3,0,0,CA. 2314,7.55,,S
651,male,0,American,Mr.,William Sykes,,3,0,0,349221,78.958,,S
652,female,1,American,Mrs.,Angela Phillips,18,2,0,1,231919,23,,S
653,female,0,American,Ms.,Kelly Vazquez,21,3,0,0,8475,84.333,,S
654,male,1,American,Mr.,Elmer Lee,,3,0,0,330919,78.292,,Q
655,male,0,American,Mr.,Edward Jeans,18,3,0,0,365226,6.75,,Q
656,female,0,American,Mrs.,Loretta Snyder,24,2,2,0,S.O.C. 14879,73.5,,S
657,male,0,American,Mr.,Phillip Padron,,3,0,0,349223,78.958,,S
658,male,0,American,Mr.,Antwan Lowery,32,3,1,1,364849,15.5,,Q
659,female,0,American,Dr.,Denise Nolan,23,2,0,0,29751,13,,S
660,female,0,American,Ms.,Brandi Truitt,58,1,0,2,35273,113.275,D48,C
661,female,1,American,Mrs.,Margaret Dews,50,1,2,0,PC 17611,133.65,,S
662,male,0,American,Mr.,Jeff Moffett,40,3,0,0,2623,7.225,,C
663,male,0,American,Mr.,Russell Spears,47,1,0,0,5727,255.875,E58,S
664,male,0,American,Mr.,Eddie Morrison,36,3,0,0,349210,74.958,,S
665,female,1,American,Mrs.,Erin Kratz,20,3,1,0,STON/O 2. 3101285,7.925,,S
666,female,0,American,Mrs.,Tracy Williams,32,2,2,0,S.O.C. 14879,73.5,,S
667,male,0,American,Mr.,Timothy Taylor,25,2,0,0,234686,13,,S
668,female,0,American,Ms.,Connie Nott,,3,0,0,312993,7.775,,S
669,male,0,American,Mr.,James Davis,43,3,0,0,A/5 3536,8.05,,S
670,female,1,American,Ms.,Charlotte Ayala,,1,1,0,19996,52,C126,S
671,female,1,American,Mrs.,Nicole Parmer,40,2,1,1,29750,39,,S
672,male,0,American,Mr.,Harry Green,31,1,1,0,F.C. 12750,52,B71,S
673,female,0,American,Mrs.,Wanda Draper,70,2,0,0,C.A. 24580,10.5,,S
674,male,1,American,Mr.,Thomas Smith,31,2,0,0,244270,13,,S
675,male,0,American,Mr.,Emmanuel Mace,,2,0,0,239856,0,,S
676,female,0,American,Mrs.,Amy Tyson,18,3,0,0,349912,7.775,,S
